product_id,product_name,rating_count,avg_rating,helpful_votes,weighted_avg_rating,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count
1,Geometry Dash SubZero,228,3.03,5610,4.45,44,43,46,52,43
1,Western Union Send Money Now,1009,3.08,2658,3.07,248,126,169,231,235
10,Cooking Blitz: Restaurant Game,2,3.0,10,3.0,1,0,0,0,1
10,Safeway Deals & Delivery,643,3.13,2292,2.19,121,113,121,138,150
100,Goods Puzzle: Sort Challenge™,264,2.95,4579,3.1,56,51,59,47,51
101,Galaxiga: Space Arcade Shooter,52,3.71,4944,4.87,14,0,5,1,32
102,Dice Dreams™️,56,4.07,36,3.25,7,4,4,4,37
103,Dye Hard - Color War,166,3.63,180,4.08,16,7,44,54,45
104,WorldBox - Sandbox God Sim,217,3.06,272780,4.86,37,51,41,38,50
11,My Earthquake Alerts - Map,192,4.44,219,4.05,8,5,16,29,134
11,Number Match - Number Game,2,1.0,5,1.0,2,0,0,0,0
110,Office Cat: Idle Tycoon Games,70,1.36,264,1.43,45,25,0,0,0
112,Top War: Battle Game,253,3.04,8855,1.7,58,40,47,50,58
113,Ronin: The Last Samurai,199,3.11,1204,3.53,39,32,40,44,44
114,FINAL FANTASY BE:WOTV,234,3.09,1851,2.89,44,38,54,50,48
115,Braveland Heroes,61,4.16,91,3.27,7,4,2,7,41
116,Worms Zone .io - Hungry Snake,229,2.83,26048,3.21,57,41,52,43,36
117,War and Peace: Civil War,213,3.15,756,2.75,47,24,46,41,55
118,OTR - Offroad Car Driving Game,231,2.78,12672,4.26,59,51,42,39,40
119,Zen Koi 2,142,3.67,351,3.86,16,7,23,58,38
12,Hexa Run: Hexa Puzzle Game,1,5.0,1,5.0,0,0,0,0,1
12,Suno - AI Music,371,3.76,290,3.68,48,23,49,102,149
120,1945 Air Force: Airplane Games,266,3.01,42283,2.86,53,56,48,54,55
121,Wild Castle: Tower Defense TD,157,3.22,652,4.03,36,13,25,46,37
122,Pixel Starships™,202,3.23,524,3.36,42,21,43,41,55
123,Lords Mobile: Kingdom Wars,252,2.91,22063,2.85,55,54,45,54,44
124,Soul Seeker: Six Knights,26,3.31,74,3.01,6,2,4,6,8
125,Magic Rush: Heroes,236,3.14,1292,2.79,44,46,37,51,58
126,Empire Takeover,151,3.0,359,2.37,47,20,19,16,49
127,Hustle Castle: Medieval games,238,3.15,2573,2.37,38,43,54,52,51
128,Valor Legends: Idle RPG,161,3.26,332,3.19,42,11,21,37,50
